Statistic Label,Year,County,Species,Forest Owner,UNIT,VALUE
Afforestation Area,2007,Co. Sligo,Broadleaf,Total Afforestation,Hectares,43.0
Afforestation Area,2007,Co. Sligo,Broadleaf,Farmer,Hectares,34.0
Afforestation Area,2007,Co. Sligo,Broadleaf,Non-Farmer,Hectares,10.0
Afforestation Area,2007,Co. Sligo,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Sligo,Conifer,Total Afforestation,Hectares,161.0
Afforestation Area,2007,Co. Sligo,Conifer,Farmer,Hectares,151.0
Afforestation Area,2007,Co. Sligo,Conifer,Non-Farmer,Hectares,11.0
Afforestation Area,2007,Co. Sligo,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Tipperary,Total Afforestation,Total Afforestation,Hectares,546.0
Afforestation Area,2007,Co. Tipperary,Total Afforestation,Farmer,Hectares,528.0
Afforestation Area,2007,Co. Tipperary,Total Afforestation,Non-Farmer,Hectares,19.0
Afforestation Area,2007,Co. Tipperary,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Tipperary,Broadleaf,Total Afforestation,Hectares,224.0
Afforestation Area,2007,Co. Tipperary,Broadleaf,Farmer,Hectares,215.0
Afforestation Area,2007,Co. Tipperary,Broadleaf,Non-Farmer,Hectares,8.0
Afforestation Area,2007,Co. Tipperary,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Tipperary,Conifer,Total Afforestation,Hectares,323.0
Afforestation Area,2007,Co. Tipperary,Conifer,Farmer,Hectares,313.0
Afforestation Area,2007,Co. Tipperary,Conifer,Non-Farmer,Hectares,10.0
Afforestation Area,2007,Co. Tipperary,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Waterford,Total Afforestation,Total Afforestation,Hectares,310.0
Afforestation Area,2007,Co. Waterford,Total Afforestation,Farmer,Hectares,303.0
Afforestation Area,2007,Co. Waterford,Total Afforestation,Non-Farmer,Hectares,7.0
Afforestation Area,2007,Co. Waterford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Waterford,Broadleaf,Total Afforestation,Hectares,113.0
Afforestation Area,2007,Co. Waterford,Broadleaf,Farmer,Hectares,108.0
Afforestation Area,2007,Co. Waterford,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2007,Co. Waterford,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Waterford,Conifer,Total Afforestation,Hectares,197.0
Afforestation Area,2007,Co. Waterford,Conifer,Farmer,Hectares,194.0
Afforestation Area,2007,Co. Waterford,Conifer,Non-Farmer,Hectares,3.0
Afforestation Area,2007,Co. Waterford,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Westmeath,Total Afforestation,Total Afforestation,Hectares,141.0
Afforestation Area,2007,Co. Westmeath,Total Afforestation,Farmer,Hectares,130.0
Afforestation Area,2007,Co. Westmeath,Total Afforestation,Non-Farmer,Hectares,10.0
Afforestation Area,2007,Co. Westmeath,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Westmeath,Broadleaf,Total Afforestation,Hectares,44.0
